key	english	context
# COMMON — strings shared across many screens; translate once, reused everywhere.
common.back	BACK	Button on almost every sub-screen; returns to the previous screen.
common.continue	CONTINUE	Generic button that proceeds / dismisses (e.g. draw ceremony, view-result full time). Also the default resume-saved-game label before a competition name is appended.
common.cancel	CANCEL	Button that aborts an action and returns (used on the RETIRE confirm prompt).
common.ok	OK	Confirm button on typed-entry screens (manager name, save-slot name).
common.on	ON	Value shown for an enabled ON/OFF option toggle.
common.off	OFF	Value shown for a disabled ON/OFF option toggle.
common.na	N/A	Value shown when an option is unavailable/not applicable (e.g. energy bar while fatigue is off; a missing audio source is suffixed " (N/A)").
common.none	NONE	Placeholder shown in a selector value box when nothing is selected (squad/coach/market player, offer).
common.versus	V	Large "versus" separator drawn between the two team names on the pre-match screen and in fixture pairings (HOME V AWAY).
common.page	PAGE	Prefix of a paged-list indicator, e.g. "PAGE 1/3" on squad / scouting / market screens.
common.previous_page	PREVIOUS PAGE	Button that scrolls the current table one page back.
common.next_page	NEXT PAGE	Button that scrolls the current table one page forward.
common.no_career_data	NO CAREER DATA	Placeholder shown when a career screen has no world/career loaded.
common.no_squad_data	NO SQUAD DATA	Placeholder shown when a squad-based screen has no squad to show.
common.player_not_available	PLAYER NOT AVAILABLE	Notice when the selected player can no longer be acted on (sold/left).
common.player	PLAYER	Selector-row label for choosing a player from the visible table (squad, transfer, scout, training).
common.budget	BUDGET	Label prefixing the club's cash balance, e.g. "BUDGET 1.3M".
common.sort	SORT	Selector-row label; opens the transfer/scout list sort-order picker.
common.sort_by	SORT BY	Title of the pop-up list that chooses the sort order.
common.value	VALUE	Sort mode / column: order players by their monetary value.
common.skill	SKILL	Sort mode and table column: a player's effective overall skill.
common.age	AGE	Sort mode and table column: a player's age in years.
common.money_thousands_suffix	K	Suffix appended to an abbreviated money amount in thousands, e.g. "270K".
common.money_millions_suffix	M	Suffix appended to an abbreviated money amount in millions, e.g. "1.3M".

# TABLE COLUMN HEADERS — short column captions in data tables. Kept apart from full words because they are abbreviations.
col.pos	POS	Table column header: player position / league standing position (abbreviation of POSITION).
col.team	TEAM	League-table column header for the club name.
col.name	NAME	Table column header for a player or coach name.
col.number	NO	Squad table column header for the shirt number (abbreviation of NUMBER).
col.number_hash	#	Squad table column header for the shirt number (hash symbol form, TEAM SETUP screen).
col.p	P	League-table column header: matches Played.
col.w	W	League-table column header: matches Won.
col.d	D	League-table column header: matches Drawn.
col.l	L	League-table column header: matches Lost.
col.gf	GF	League-table column header: Goals For.
col.ga	GA	League-table column header: Goals Against.
col.pts	PTS	League-table column header: Points.
col.skl	SKL	Squad table column header: the player's three top skill letters (abbreviation of SKILL letters).
col.skill	SKILL	Squad/market column header: numeric effective overall skill.
